rank,finalWorth,personName,age,country,city,industries,selfMade,status,gender,life_expectancy_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,gdp_country,total_tax_rate_country,population_country
7,94500,Michael Bloomberg,81.0,United States,New York,Media & Entertainment,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
8,93000,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,True,U,M,75.0,40.2,105.8,"$1,258,286,717,125 ",55.1,126014024.0
9,83400,Mukesh Ambani,65.0,India,Mumbai,Diversified,False,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
10,80700,Steve Ballmer,67.0,United States,Hunts Point,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
11,80500,Francoise Bettencourt Meyers & family,69.0,France,Paris,Fashion & Retail,False,U,F,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
12,79200,Larry Page,50.0,United States,Palo Alto,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
13,77300,Amancio Ortega,87.0,Spain,La Coruna,Fashion & Retail,True,U,M,83.3,88.9,102.7,"$1,394,116,310,769 ",47.0,47076781.0
14,76000,Sergey Brin,49.0,United States,Los Altos,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
15,68000,Zhong Shanshan,68.0,China,Hangzhou,Food & Beverage,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
16,64400,Mark Zuckerberg,38.0,United States,Palo Alto,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
17,59000,Charles Koch & family,87.0,United States,Wichita,Diversified,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
17,59000,Julia Koch & family,60.0,United States,New York,Diversified,False,D,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
19,58800,Jim Walton,74.0,United States,Bentonville,Fashion & Retail,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
20,57600,Rob Walton & family,78.0,United States,Bentonville,Fashion & Retail,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
21,56700,Alice Walton,73.0,United States,Fort Worth,Fashion & Retail,False,D,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
22,54400,David Thomson & family,65.0,Canada,Toronto,Media & Entertainment,False,U,M,81.9,68.9,100.9,"$1,736,425,629,520 ",24.5,36991981.0
23,50100,Michael Dell,58.0,United States,Austin,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
24,47200,Gautam Adani,60.0,India,Ahmedabad,Diversified,True,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
25,45100,Phil Knight & family,85.0,United States,Hillsboro,Fashion & Retail,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
26,45000,Zhang Yiming,39.0,China,Beijing,Technology,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
27,42900,Dieter Schwarz,83.0,Germany,Neckarsulm,Fashion & Retail,False,D,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
28,40100,François Pinault & family,86.0,France,Paris,Fashion & Retail,True,D,M,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
29,39100,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Logistics,False,U,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
30,38900,Giovanni Ferrero,58.0,Belgium,Brussels,Food & Beverage,False,U,M,81.6,79.7,103.9,"$529,606,710,418 ",55.4,11484055.0
31,38300,Jacqueline Mars,83.0,United States,The Plains,Food & Beverage,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
31,38300,John Mars,87.0,United States,Jackson,Food & Beverage,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
34,35300,Ma Huateng,51.0,China,Shenzhen,Technology,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
35,35000,Miriam Adelson & family,77.0,United States,Las Vegas,Gambling & Casinos,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
35,35000,Ken Griffin,54.0,United States,Miami,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
37,34700,Mark Mateschitz,30.0,Austria,Salzburg,Food & Beverage,False,N,M,81.6,85.1,103.1,"$446,314,739,528 ",51.4,8877067.0
38,33400,Robin Zeng,54.0,China,Ningde,Automotive,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
39,32600,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion & Retail,True,U,M,84.2,63.2,98.8,"$5,081,769,542,380 ",46.7,126226568.0
40,32100,Len Blavatnik,65.0,United Kingdom,London,Diversified,True,D,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
41,31600,Alain Wertheimer,74.0,United States,New York,Fashion & Retail,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
41,31600,Gerard Wertheimer,72.0,United States,New York,Fashion & Retail,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
43,31200,Gianluigi Aponte,82.0,Switzerland,Geneva,Logistics,True,Split Family Fortune,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
43,31200,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Logistics,True,Split Family Fortune,F,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
45,30200,Colin Zheng Huang,43.0,China,Shanghai,Technology,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
46,29700,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Manufacturing,True,U,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
48,28500,Jeff Yass,64.0,United States,Haverford,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
49,28100,Jim Simons,84.0,United States,East Setauket,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
50,27800,Stephen Schwarzman,76.0,United States,New York,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
51,27400,Susanne Klatten,60.0,Germany,Bad Homburg,Automotive,False,U,F,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
52,27000,Gina Rinehart,69.0,Australia,Perth,Metals & Mining,False,D,F,82.7,113.1,100.3,"$1,392,680,589,329 ",47.4,25766605.0
53,26700,William Ding,51.0,China,Hangzhou,Technology,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
54,26600,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Metals & Mining,False,D,M,75.0,40.2,105.8,"$1,258,286,717,125 ",55.1,126014024.0
55,25600,Shiv Nadar,77.0,India,Delhi,Technology,True,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
56,25500,Low Tuck Kwong,74.0,Indonesia,Jakarta,Energy,True,U,M,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
57,25300,Thomas Peterffy,78.0,United States,Palm Beach,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
58,25200,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,Metals & Mining,True,U,M,77.8,36.8,108.4,"$421,142,267,938 ",15.9,9770529.0
59,24600,Stefan Quandt,56.0,Germany,Frankfurt,Automotive,False,U,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
60,24400,MacKenzie Scott,52.0,United States,Seattle,Technology,False,D,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
61,24200,R. Budi Hartono,82.0,Indonesia,Kudus,Finance & Investments,False,U,M,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
62,23700,Vladimir Potanin,62.0,Russia,Moscow,Metals & Mining,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
63,23500,Jack Ma,58.0,China,Hangzhou,Technology,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
64,23400,He Xiangjian & family,80.0,China,Foshan,Manufacturing,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
65,23100,Iris Fontbona & family,80.0,Chile,Santiago,Metals & Mining,False,U,F,80.0,88.5,101.4,"$282,318,159,745 ",34.0,18952038.0
65,23100,Michael Hartono,83.0,Indonesia,Kudus,Manufacturing,False,U,M,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
67,22900,James Ratcliffe,70.0,United Kingdom,London,Manufacturing,True,U,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
68,22600,Cyrus Poonawalla,81.0,India,Pune,Healthcare,False,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
69,22400,Masayoshi Son,65.0,Japan,Tokyo,Telecom,True,U,M,84.2,63.2,98.8,"$5,081,769,542,380 ",46.7,126226568.0
70,22100,Vladimir Lisin,66.0,Russia,Moscow,Metals & Mining,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
71,22000,Emmanuel Besnier,52.0,France,Laval,Food & Beverage,False,D,M,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
72,21600,Abigail Johnson,61.0,United States,Milton,Finance & Investments,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
72,21600,Leonid Mikhelson & family,67.0,Russia,Moscow,Energy,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
74,21200,Lukas Walton,36.0,United States,Chicago,Fashion & Retail,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
74,21200,Wang Wei,52.0,China,Shenzhen,Service,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
76,21100,Jensen Huang,60.0,United States,Los Altos,Technology,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
77,21000,Leonard Lauder,90.0,United States,New York,Fashion & Retail,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
77,21000,Takemitsu Takizaki,77.0,Japan,Osaka,Manufacturing,True,D,M,84.2,63.2,98.8,"$5,081,769,542,380 ",46.7,126226568.0
79,20900,Alexey Mordashov & family,57.0,Russia,Moscow,Metals & Mining,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
80,20500,Vagit Alekperov,72.0,Russia,Moscow,Energy,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
81,20200,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Healthcare,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
82,19600,Andrew Forrest,61.0,Australia,Perth,Metals & Mining,True,U,M,82.7,113.1,100.3,"$1,392,680,589,329 ",47.4,25766605.0
83,19100,Ray Dalio,73.0,United States,Greenwich,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
84,19000,Eric Li,59.0,China,Hangzhou,Automotive,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
84,19000,Wang Wenyin,55.0,China,Shenzhen,Metals & Mining,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
86,18900,Qin Yinglin,57.0,China,Nanyang,Food & Beverage,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
88,18700,Wang Chuanfu,57.0,China,Shenzhen,Automotive,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
89,18500,Harold Hamm & family,77.0,United States,Oklahoma City,Energy,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
89,18500,David Tepper,65.0,United States,Palm Beach,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
89,18500,Gennady Timchenko,70.0,Russia,Moscow,Energy,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
92,18000,Daniel Gilbert,61.0,United States,Franklin,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
93,17700,Lakshmi Mittal,72.0,United Kingdom,London,Metals & Mining,False,D,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
94,17500,Steve Cohen,66.0,United States,Greenwich,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
94,17500,Carl Icahn,87.0,United States,Indian Creek,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
94,17500,Savitri Jindal & family,73.0,India,Hisar,Metals & Mining,False,D,F,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
97,17400,Donald Bren,90.0,United States,Newport Beach,Real Estate,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
97,17400,"John Menard, Jr.",83.0,United States,Eau Claire,Fashion & Retail,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
99,17100,Rupert Murdoch & family,92.0,United States,New York,Media & Entertainment,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
100,16700,Vicky Safra & family,70.0,Switzerland,Crans-Montana,Finance & Investments,False,U,F,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
101,16500,"Theo Albrecht, Jr. & family",72.0,Germany,Mulheim an der Ruhr,Fashion & Retail,False,D,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
101,16500,Renata Kellnerova & family,55.0,Czech Republic,Prague,Finance & Investments,False,D,F,79.0,64.1,100.7,"$246,489,245,495 ",46.1,10669709.0
103,16300,Li Xiting,72.0,China,Shenzhen,Healthcare,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
104,16200,Stefan Persson,75.0,Sweden,Stockholm,Fashion & Retail,False,D,M,82.5,67.0,126.6,"$530,832,908,738 ",49.1,10285453.0
104,16200,Eric Schmidt,67.0,United States,Atherton,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
106,16000,Michael Platt,55.0,Switzerland,Geneva,Finance & Investments,True,U,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
107,15900,Pang Kang,67.0,China,Foshan,Food & Beverage,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
108,15800,Jorge Paulo Lemann & family,83.0,Switzerland,Zurich,Food & Beverage,True,U,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
112,15600,Dilip Shanghvi,67.0,India,Mumbai,Healthcare,True,E,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
113,15500,Robert Pera,45.0,United States,San Jose,Technology,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
114,15300,Radhakishan Damani,68.0,India,Mumbai,Fashion & Retail,True,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
115,15200,Huang Shilin,56.0,China,Ningde,Automotive,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
116,14900,Dhanin Chearavanont,83.0,Thailand,Bangkok,Diversified,False,U,M,76.9,49.3,99.8,"$543,649,976,166 ",29.5,69625582.0
116,14900,David Green & family,81.0,United States,Oklahoma City,Fashion & Retail,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
118,14800,Charoen Sirivadhanabhakdi,78.0,Thailand,Bangkok,Food & Beverage,True,U,M,76.9,49.3,99.8,"$543,649,976,166 ",29.5,69625582.0
119,14700,Charlene de Carvalho-Heineken & family,68.0,United Kingdom,London,Food & Beverage,False,D,F,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
120,14600,Xu Hang,60.0,China,Shenzhen,Healthcare,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
121,14500,Wei Jianjun & family,59.0,China,Baoding,Automotive,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
122,14400,Alisher Usmanov,69.0,Uzbekistan,Tashkent,Metals & Mining,True,U,M,71.6,10.1,104.2,"$57,921,286,440 ",31.6,33580650.0
123,14300,Goh Cheng Liang,95.0,Singapore,Singapore,Manufacturing,True,U,M,83.1,84.8,100.6,"$372,062,527,489 ",21.0,5703569.0
124,14200,Kumar Birla,55.0,India,Mumbai,Diversified,False,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
