rank,final_worth_usd,person_name,age,country,country_of_citizenship,city,industries,wealth_source,gender,life_expectancy_country,gross_tertiary_education_enrollment_country,gross_primary_education_enrollment_country,gdp_country_usd,total_tax_rate_country,population_country,final_worth_usd_formatted
239,8500000000,"Chase Coleman, III.",47.0,United States,United States,New York,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.5B
239,8500000000,Ann Walton Kroenke,74.0,United States,United States,Electra,Fashion & Retail,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.5B
239,8500000000,Li Zhenguo & family,55.0,China,China,Xi'an,Manufacturing,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,8.5B
242,8400000000,Jim Kennedy,75.0,United States,United States,Atlanta,Media & Entertainment,Inherited/Unearned,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.4B
242,8400000000,Nicky Oppenheimer & family,77.0,South Africa,South Africa,Johannesburg,Metals & Mining,Inherited/Unearned,M,63.9,22.4,100.9,351431649241.0,29.2,58558270.0,8.4B
242,8400000000,Blair Parry-Okeden,72.0,Australia,United States,New South Wales,Media & Entertainment,Inherited/Unearned,F,82.7,113.1,100.3,1392680589329.0,47.4,25766605.0,8.4B
242,8400000000,Zheng Shuliang & family,77.0,China,China,Binzhou,Metals & Mining,Inherited/Unearned,F,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,8.4B
246,8300000000,John Morris,75.0,United States,United States,Springfield,Fashion & Retail,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.3B
249,8200000000,German Khan,61.0,Russia,Russia,Moscow,Energy,Self-Made,M,72.7,81.9,102.6,1699876578871.0,46.2,144373535.0,8.2B
249,8200000000,Abdulsamad Rabiu,62.0,Nigeria,Nigeria,Lagos,Diversified,Inherited/Unearned,M,54.3,10.2,84.7,448120428859.0,34.8,200963599.0,8.2B
249,8200000000,George Roberts,79.0,United States,United States,Atherton,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.2B
249,8200000000,Kushal Pal Singh,91.0,India,India,Delhi,Real Estate,Inherited/Unearned,M,69.4,28.1,113.0,2611000000000.0,49.7,1366417754.0,8.2B
249,8200000000,Wang Jianlin,68.0,China,China,Beijing,Real Estate,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,8.2B
249,8200000000,Yang Huiyan & family,41.0,China,China,Foshan,Real Estate,Inherited/Unearned,F,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,8.2B
256,8100000000,Laurent Dassault,69.0,France,France,Paris,Diversified,Inherited/Unearned,M,82.5,65.6,102.5,2715518274227.0,60.7,67059887.0,8.1B
256,8100000000,Thierry Dassault,66.0,France,France,Paris,Diversified,Inherited/Unearned,M,82.5,65.6,102.5,2715518274227.0,60.7,67059887.0,8.1B
256,8100000000,Tilman Fertitta,65.0,United States,United States,Houston,Food & Beverage,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.1B
256,8100000000,Marie-Hélène Habert-Dassault,58.0,France,France,Paris,Diversified,Inherited/Unearned,F,82.5,65.6,102.5,2715518274227.0,60.7,67059887.0,8.1B
256,8100000000,Karel Komarek,54.0,Switzerland,Czech Republic,Verbier,Gambling & Casinos,Self-Made,M,83.6,59.6,105.2,703082435360.0,28.8,8574832.0,8.1B
261,8000000000,Nathan Blecharczyk,39.0,United States,United States,San Francisco,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.0B
261,8000000000,Leonid Fedun,66.0,Russia,Russia,Moscow,Energy,Self-Made,M,72.7,81.9,102.6,1699876578871.0,46.2,144373535.0,8.0B
261,8000000000,Bernard Marcus,93.0,United States,United States,Atlanta,Fashion & Retail,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.0B
261,8000000000,Patrick Ryan,85.0,United States,United States,Winnetka,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.0B
261,8000000000,Robert F. Smith,60.0,United States,United States,Austin,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,8.0B
261,8000000000,Pavel Tykac,58.0,Czech Republic,Czech Republic,Prague,Metals & Mining,Self-Made,M,79.0,64.1,100.7,246489245495.0,46.1,10669709.0,8.0B
268,7900000000,Orlando Bravo,52.0,United States,United States,Miami Beach,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.9B
268,7900000000,Ding Shizhong,52.0,China,China,Quanzhou,Fashion & Retail,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.9B
268,7900000000,Nancy Walton Laurie,71.0,United States,United States,Henderson,Fashion & Retail,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.9B
268,7900000000,Jay Y. Lee,54.0,South Korea,South Korea,Seoul,Technology,Inherited/Unearned,M,82.6,94.3,98.1,2029000000000.0,33.2,51709098.0,7.9B
268,7900000000,Ramzi Musallam,54.0,United States,United States,New York,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.9B
268,7900000000,David Shaw,72.0,United States,United States,New York,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.9B
268,7900000000,Andrei Skoch & family,57.0,Russia,Russia,Moscow,Metals & Mining,Self-Made,M,72.7,81.9,102.6,1699876578871.0,46.2,144373535.0,7.9B
268,7900000000,Georg Stumpf,50.0,Austria,Austria,Vienna,Diversified,Self-Made,M,81.6,85.1,103.1,446314739528.0,51.4,8877067.0,7.9B
276,7800000000,Rocco Commisso,73.0,United States,United States,Saddle River,Telecom,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.8B
276,7800000000,Li Shuirong & family,66.0,China,China,Hangzhou,Manufacturing,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.8B
276,7800000000,Qi Shi & family,53.0,China,China,Shanghai,Technology,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.8B
276,7800000000,Yao Liangsong,58.0,China,China,Guangzhou,Manufacturing,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.8B
282,7700000000,Jean-Michel Besnier,55.0,France,France,Laval,Food & Beverage,Inherited/Unearned,M,82.5,65.6,102.5,2715518274227.0,60.7,67059887.0,7.7B
282,7700000000,Marie Besnier Beauvalot,42.0,France,France,Laval,Food & Beverage,Inherited/Unearned,F,82.5,65.6,102.5,2715518274227.0,60.7,67059887.0,7.7B
282,7700000000,David Geffen,80.0,United States,United States,Beverly Hills,Media & Entertainment,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.7B
282,7700000000,Robin Li,54.0,China,China,Beijing,Technology,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.7B
282,7700000000,Liu Yonghao & family,71.0,China,China,Chengdu,Service,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.7B
282,7700000000,Henry Samueli,68.0,United States,United States,Newport Beach,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.7B
282,7700000000,Reinhold Schmieding,68.0,United States,United States,Naples,Healthcare,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.7B
282,7700000000,Ivar Tollefsen,61.0,Norway,Norway,Oslo,Real Estate,Self-Made,M,82.8,82.0,100.3,403336363636.0,36.2,5347896.0,7.7B
290,7600000000,Cao Renxian,54.0,China,China,Hefei,Energy,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.6B
290,7600000000,Hasmukh Chudgar & family,89.0,India,India,Ahmedabad,Healthcare,Self-Made,M,69.4,28.1,113.0,2611000000000.0,49.7,1366417754.0,7.6B
290,7600000000,Andrew Currie,67.0,United Kingdom,United Kingdom,London,Manufacturing,Self-Made,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,7.6B
290,7600000000,Joe Gebbia,41.0,United States,United States,Austin,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.6B
290,7600000000,Philip Ng,64.0,Singapore,Singapore,Singapore,Real Estate,Inherited/Unearned,M,83.1,84.8,100.6,372062527489.0,21.0,5703569.0,7.6B
290,7600000000,John Reece,66.0,United Kingdom,United Kingdom,London,Manufacturing,Self-Made,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,7.6B
290,7600000000,Leonard Stern,85.0,United States,United States,New York,Real Estate,Inherited/Unearned,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.6B
290,7600000000,Zhong Huijuan,62.0,China,China,Shanghai,Healthcare,Self-Made,F,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.6B
299,7500000000,Arthur Blank,80.0,United States,United States,Atlanta,Sports,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.5B
299,7500000000,Charles Butt,85.0,United States,United States,San Antonio,Fashion & Retail,Inherited/Unearned,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.5B
299,7500000000,Ding Shijia,59.0,China,China,Quanzhou,Fashion & Retail,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.5B
299,7500000000,"Paul Tudor Jones, II.",68.0,United States,United States,Palm Beach,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.5B
